[2025-01-26 06:59:50.365236 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:50.493260 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:50.701271 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:50.861317 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:51.165535 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:51.172306 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
[2025-01-26 06:59:51.221778 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:51.229032 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 8
[2025-01-26 06:59:51.325616 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:51.332815 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 8
[2025-01-26 06:59:51.333817 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:51.381437 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:51.421422 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:51.445478 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:51.452692 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
[2025-01-26 06:59:51.573467 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:51.669523 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:51.676107 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
[2025-01-26 06:59:51.709504 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:51.716135 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
[2025-01-26 06:59:51.773513 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:51.797506 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:51.861513 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:51.868579 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
[2025-01-26 06:59:51.885470 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:51.892196 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
[2025-01-26 06:59:52.013519 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:52.053458 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:52.069475 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:52.333741 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:52.340204 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
[2025-01-26 06:59:52.461879 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:52.549912 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:53.349719 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:53.356611 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
[2025-01-26 06:59:53.413725 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:53.420122 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
[2025-01-26 06:59:53.541689 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:53.557854 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:53.845872 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:53.925843 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:53.981768 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:54.069694 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:54.454028 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:54.459640 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 6
[2025-01-26 06:59:54.613917 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:54.620073 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
[2025-01-26 06:59:54.733956 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:54.741752 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:54.894219 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:54.900262 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
[2025-01-26 06:59:54.982225 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:55.246077 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:55.252170 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
[2025-01-26 06:59:55.454069 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:55.702016 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:55.708251 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
[2025-01-26 06:59:55.878149 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:56.262171 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:56.374129 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:56.502215 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:56.508040 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
[2025-01-26 06:59:56.566187 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:56.571605 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 6
[2025-01-26 06:59:56.630158 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:56.702156 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
